product_name,category,price,store,product_url,source_url,parsed_at
"Бильярдный кий для русского бильярда Cuetec, черный, цельный",cues,13290,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/33166/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
"Бильярдный кий для русского бильярда Матиз (серебристый), односоставной",cues,13290,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/26424/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
"Бильярдный кий для русского бильярда Матиз (синий), односоставной",cues,13290,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/26425/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
Кий для русского бильярда 160 см фибергласс SportPlay-55,cues,13450,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/259713/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
Кий для русского бильярда 160 см фибергласс SportPlay-46,cues,13460,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256174/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
Кий для русского бильярда 160 см фибергласс SportPlay-47,cues,13460,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256175/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
Кий для русского бильярда 160 см фибергласс SportPlay-49,cues,13460,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256177/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
Кий для русского бильярда 160 см фибергласс SportPlay-50,cues,13460,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256178/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
Кий для русского бильярда 160 см фибергласс SportPlay-51,cues,13460,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256179/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
Кий для русского бильярда 160 см фибергласс SportPlay-52,cues,13460,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256615/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=8,2026-05-26 13:32:15
Кий для русского бильярда SportPlay 160 см,cues,13460,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/255096/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
Кий для русского бильярда SportPlay Tulp 160 см,cues,13460,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256109/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для американского пула Лунный (мерсава), двухсоставной",cues,13480,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/33340/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий Юниор двухсоставной (сапели, граб)",cues,13500,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/161903/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий Юниор-2 цельный (сапели, граб)",cues,13500,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/161915/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для снукера Омега двухсоставной 3/4, с удлиннителем",cues,13580,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_dlya_snukera/24844/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Разборный укороченный кий для русского бильярда 120 см (граб термо, белый граб, махагон)",cues,13620,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/198293/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Разборный укороченный кий для русского бильярда 140 см (граб термо, белый граб, махагон)",cues,13620,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/198294/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды Титан (мерсава), двухсоставной",cues,13680,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/33186/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды Отто (мерсава), двухсоставной",cues,13880,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/33176/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для снукера Манчестер, двухсоставной 3/4",cues,13880,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_dlya_snukera/115546/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды двухсоставной Классика (термограб, светло-коричневый, белый) 13 запилов",cues,13960,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/178831/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды Титан (бургунд), двухсоставной",cues,13970,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/27291/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды Титан (синий), двухсоставной",cues,13970,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/27287/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды Титан (черный), двухсоставной",cues,13970,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/27289/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русского бильярда Хмель, двухсоставной",cues,14160,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/33216/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Кий для русского бильярда Марио, двухсоставной",cues,14260,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/186819/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды Мистери, двухсоставной",cues,14540,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/27284/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для русской пирамиды Эписон (черный), двухсоставной",cues,14540,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/27271/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Карбоновый кий для снукера 3/4 (черный, синий)",cues,14640,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_dlya_snukera/253572/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
Кий двухсоставной пульный SportPlay-51,cues,14740,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/256118/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=4,2026-05-26 13:32:07
"Бильярдный кий Юниор-2 двухсоставной (сапели, граб)",cues,14950,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/161906/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий Юниор-4 цельный (сапели, граб)",cues,14950,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/161916/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Кий для русского бильярда Лео, двухсоставной",cues,14950,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/33202/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Кий для русского бильярда Тигр, двухсоставной",cues,14950,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/33201/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для американского бильярда McDermott Lucky L70 двухсоставной, 148,8 см",cues,15100,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/177884/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
"Бильярдный кий для американского пула McDermott Lucky L04, двухсоставной, 148,8 см",cues,15100,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_amerikanskiy_pul/177875/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
Кий для бильярда двухсоставной SportPlay-53,cues,15130,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/256121/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=4,2026-05-26 13:32:07
"Бильярдный кий для русского бильярда Родон, коричневый, цельный",cues,15200,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/113777/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=9,2026-05-26 13:32:17
Бильярдный кий для русской пирамиды двухсоставной SportPlay-4,cues,15220,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/198464/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=4,2026-05-26 13:32:07
Бильярдный кий для русской пирамиды двухсоставной SportPlay-5,cues,15220,Billiard1 / Ozone Billiards,https://www.billiard1.ru/catalog/kii/kii_russkiy_bilyard/198465/,https://www.billiard1.ru/catalog/kii/?PAGEN_1=4,2026-05-26 13:32:07
