name,address,metro,price,area,price_per_sqm,district
Сдается офис,"Филипповский пер. , 8С1",Арбатская,450000.0,90.0,5000.0,ЦАО
Сдается помещение свободного назначения,"Ямского Поля 3-я ул. , 9",Белорусская,550000.0,80.0,6875.0,ЦАО
Сдается помещение свободного назначения,"Марка Шагала наб. , 13",ЗИЛ,200000.0,78.003120124805,2564.0,Другое
Сдается помещение свободного назначения,"Рабочий Поселок метро (МЦД-1) ( Западный адм. округ ) Рябиновая ул.                        , 3к1",Рабочий Поселок,400000.0,172.2652885443583,2322.0,Другое
Сдается помещение свободного назначения,"Ленинский просп. , 94А",Новаторская,750000.0,232.77467411545624,3222.0,Другое
Сдается торговая площадь,"Красного Маяка ул. , 1К1",Пражская,390000.0,54.99929488083486,7091.0,ЮАО
Сдается офис,"Уланский пер. , 22С1",Сретенский бульвар,110000.0,13.099916636894129,8397.0,Другое
Сдается помещение свободного назначения,"Академика Анохина ул. , 42К2",Юго-Западная,1397000.0,375.03355704697987,3725.0,ЮЗАО
Сдается офис,"Научный пр-д , 19",Воронцовская,275600.0,113.97849462365592,2418.0,Другое
Сдается автосервис,"Заваруевский пер. , 32С1",Семеновская,1800000.0,248.0022044640397,7258.0,Другое
Сдается офис,"Ленинский просп. , 158",Тропарево,80000.0,25.698682942499197,3113.0,Другое
Сдается офис,"Ермакова Роща ул. , 1С1",Шелепиха,1000000.0,241.89646831156264,4134.0,Другое
Сдается офис,"Рижский 1-й пер. , 2Г",Алексеевская,670140.0,394.2,1700.0,СВАО
Сдается помещение свободного назначения,"Профсоюзная ул. , 125",Теплый стан,3154687.0,4268.859269282814,739.0,Другое
Сдается помещение свободного назначения,"Сыромятнический 4-й пер. , 3/5С5",Курский вокзал,165000.0,70.00424268137463,2357.0,Другое
Сдается помещение свободного назначения,"Серпуховская Большая ул. , 14/13С1",Серпуховская,725000.0,207.02455739577385,3502.0,Другое
Сдается офис,"Чистова ул. , 10",Печатники,3350000.0,2159.8968407479047,1551.0,ЮВАО
Сдается офис,"Пресненская наб. , 6С2",Деловой центр,300000.0,62.998740025199496,4762.0,ЦАО
Сдается офис,"Складочная ул. , 1С15",Станколит,1553135.0,736.0829383886256,2110.0,Другое
Сдается склад,"Новохохловская метро (МЦД-2) ( Юго-Восточный адм. округ ) Остаповский пр-д                        , 5С6",Новохохловская,628350.0,355.0,1770.0,ВАО
Сдается помещение свободного назначения,"Очаковское ш. , 9А",Аминьевская,776940.0,112.6,6900.0,Другое
Сдается помещение свободного назначения,"Широкая ул. , 11",Медведково,45000.0,10.0,4500.0,СВАО
Сдается помещение свободного назначения,"Автозаводская пл. , 23",Автозаводская,76950000.0,34200.0,2250.0,ЮАО
Сдается офис,Нахимовский просп.,Профсоюзная,2000000.0,1000.0,2000.0,ЮЗАО
Сдается помещение свободного назначения,"Автозаводская пл. , 23",Автозаводская,3893760.0,1730.56,2250.0,ЮАО
Сдается офис,"Лесная ул. , 43",Белорусская,1000000.0,189.000189000189,5291.0,ЦАО
Сдается офис,"Автозаводская ул. , 26",Автозаводская,215000.0,150.03489183531053,1433.0,ЮАО
Сдается офис,"Лесная ул. , 43",Белорусская,890000.0,102.99733827103344,8641.0,ЦАО
Сдается помещение свободного назначения,"Автозаводская пл. , 23",Автозаводская,722835.0,321.26,2250.0,ЮАО
Сдается помещение свободного назначения,"Автозаводская пл. , 23",Автозаводская,7832273.0,3481.010222222222,2250.0,ЮАО
Сдается помещение свободного назначения,"Автозаводская пл. , 23",Автозаводская,6465510.0,2873.56,2250.0,ЮАО
Сдается офис,"Гашека ул. , 6",Маяковская,1254000.0,193.01215945821147,6497.0,ЦАО
Сдается офис,"Ленинская Слобода ул. , 26С5",Автозаводская,260000.0,150.02885170225042,1733.0,ЮАО
