place_name,district,address,search_query,yandex_name,yandex_address,yandex_categories,yandex_maps_url,status,error
РгоБильярд,Другое,"Красногорский бульвар, 4 к1","РгоБильярд Красногорский бульвар, 4 к1 Москва",РгоБильярд,"Красногорск, Красногорский бул., 4, корп. 1",Бильярдный клуб,https://yandex.com/maps/org/probilyard/163669326399/,found,
"Пойма, бильярд",Другое,"Красногорский бульвар, 4р","Пойма, бильярд Красногорский бульвар, 4р Москва",Бильярд,"Красногорск, Красногорский бул., 4Р",Бильярдный клуб,https://yandex.com/maps/org/bilyard/91541808339/,found,
"Республика, бильярдный клуб",Другое,"улица Ленина, 28","Республика, бильярдный клуб улица Ленина, 28 Москва",Республика,"село Ильинское, ул. Ленина, 28","Бильярдный клуб, кальян-бар, спортбар",https://yandex.com/maps/org/respublika/244810376108/,found,
"Удача, бильярдный клуб",СЗАО,"Туристская улица, 17","Удача, бильярдный клуб Туристская улица, 17 Москва",Удача,"Москва, Туристская ул., 17","Бар, паб, бильярдный клуб",https://yandex.com/maps/org/udacha/1558502163/,found,
"Кодру М, сауна",СЗАО,"Нелидовская улица, 18","Кодру М, сауна Нелидовская улица, 18 Москва",Кодру М,"Москва, Нелидовская ул., 18","Сауна, баня, бассейн",https://yandex.com/maps/org/kodru_m/1126746517/,found,
"Космик, развлекательные центры",СЗАО,"МКАД 71 километр, 16а","Космик, развлекательные центры МКАД 71 километр, 16а Москва",Космик,"п. г. т. Путилково, МКАД, 71-й километр, 16А","Развлекательный центр, боулинг, игровой клуб",https://yandex.com/maps/org/cosmik/1113596982/,found,
"Игралайф, развлекательный центр",САО,"Правобережная улица, 1Б","Игралайф, развлекательный центр Правобережная улица, 1Б Москва",Игралайф,"Москва, Правобережная ул., 1Б","Развлекательный центр, игровая комната, боулинг, бильярдный клуб",https://yandex.com/maps/org/igralife/1082485829/,found,
"7 луза, бильярдный клуб",Другое,"Соколово-Мещерская улица, 16/114","7 луза, бильярдный клуб Соколово-Мещерская улица, 16/114 Москва",Бильярд,"Москва, Соколово-Мещерская ул., 16/114","Бильярдный клуб, бар",https://yandex.com/maps/org/sedmaya_luza/1211571164/,found,
"Пингвин, бильярдный клуб",Другое,"Молодёжная улица, 6","Пингвин, бильярдный клуб Молодёжная улица, 6 Москва",Пингвин,"Химки, Молодёжная ул., 6","Бильярдный клуб, кафе, сауна",https://yandex.com/maps/org/penguin/181759902778/,found,
Сауна,СЗАО,"переулок Ангелов, 6 к2","Сауна переулок Ангелов, 6 к2 Москва",Водолей,"Москва, Ангелов пер., 6, корп. 2","Сауна, баня, бильярдный клуб",https://yandex.com/maps/org/vodoley/2596587773/,found,
"БлокПост, бильярдный клуб",Другое,"Юбилейный проспект, 40","БлокПост, бильярдный клуб Юбилейный проспект, 40 Москва",Блок пост,"Химки, Юбилейный просп., 40","Бильярдный клуб, кальян-бар, бар",https://yandex.com/maps/org/blok_post/1714117955/,found,
"Мама дали, кафе",САО,"улица Пожарского, 22 ст1","Мама дали, кафе улица Пожарского, 22 ст1 Москва",Мама Дали,"Химки, ул. Пожарского, 22, стр. 1","Кафе, ресторан, бар",https://yandex.com/maps/org/mama_dali/14305490167/,found,
Private billiards,СЗАО,"Новокуркинское шоссе, 1","Private billiards Новокуркинское шоссе, 1 Москва",Бильярд,"Москва, Новокуркинское ш., 1","Бильярдный клуб, антикафе",https://yandex.com/maps/org/bilyard/144482073912/,found,
Академия снукера,Другое,"улица Ильича, 7","Академия снукера улица Ильича, 7 Москва",Академия снукера,"Королёв, ул. Ильича, 7","Спортивный клуб, секция, спортивная школа, бильярдный клуб",https://yandex.com/maps/org/bk_akademiya_snukera/1717262809/,found,
"Snooker, бильярдный клуб",Другое,"40-й комплекс, 6а","Snooker, бильярдный клуб 40-й комплекс, 6а Москва",Snooker,"Набережные Челны, ул. Шамиля Усманова, 31","Бильярдный клуб, кафе, бар",https://yandex.com/maps/org/bilyardny_klub_snooker/233481579745/,found,
