place_name,district,address,search_query,yandex_name,yandex_address,yandex_categories,yandex_maps_url,status,error
Бильярд клуб,Другое,"микрорайон 1 Мая, 4","Бильярд клуб микрорайон 1 Мая, 4 Москва",Бильярд,"Балашиха, микрорайон 1 Мая, 4",Бильярдный клуб,https://yandex.com/maps/org/bilyard/65139100909/,found,
"Москвич, дворец бильярдного спорта",ЮВАО,"Волгоградский проспект, 46/15 ст16","Москвич, дворец бильярдного спорта Волгоградский проспект, 46/15 ст16 Москва","СШОР Москвич Москомспорта, Дворец бильярдного спорта","Москва, Волгоградский просп., 46/15с16",Спортивный комплекс,https://yandex.com/maps/org/sshor_moskvich_moskomsporta_dvorets_bilyardnogo_sporta/194859663101/,found,
"Ош, бильярдный клуб",ЮВАО,"Люблинская улица, 4 к1а","Ош, бильярдный клуб Люблинская улица, 4 к1а Москва",Бильярдный клуб,"Москва, Люблинская ул., 4, корп. 1А",Бильярдный клуб,https://yandex.com/maps/org/bilyardny_klub/213218240118/,found,
"Феникс, сауна",ЮВАО,"Волжский бульвар, 16 к1","Феникс, сауна Волжский бульвар, 16 к1 Москва",Феникс,"Москва, Волжский бул., 16, корп. 1","Сауна, баня, бассейн",https://yandex.com/maps/org/fenix/1075673138/,found,
Сауна,ЮВАО,"Окская улица, 36 к1","Сауна Окская улица, 36 к1 Москва",Сауна на Окской,"Москва, Окская ул., 36, корп. 1","Сауна, баня",https://yandex.com/maps/org/sauna_on_okskaya/182177292945/,found,
"Пирамида, бильярдный клуб",ЮВАО,"Спортивный проезд, 5","Пирамида, бильярдный клуб Спортивный проезд, 5 Москва",Пирамида,"Москва, Спортивный пр., 5",Бильярдный клуб,https://yandex.com/maps/org/pyramid_/1788876479/,found,
Бильярдная,ЮВАО,"улица Юных Ленинцев, 117 к1 ст1","Бильярдная улица Юных Ленинцев, 117 к1 ст1 Москва",Бильярд,"Москва, ул. Юных Ленинцев, 117, корп. 1, стр. 1",Бильярдный клуб,https://yandex.com/maps/org/bilyard/115287181613/,found,
"Шпиль, бильярдный клуб",ЮВАО,"Люблинская улица, 59","Шпиль, бильярдный клуб Люблинская улица, 59 Москва",Шпиль,"Москва, Люблинская ул., 59",Бильярдный клуб,https://yandex.com/maps/org/spire/72705543332/,found,
"Дуплет, бильярдный клуб",ЮВАО,"улица Кухмистерова, 20 к2","Дуплет, бильярдный клуб улица Кухмистерова, 20 к2 Москва",Дуплет,"Москва, ул. Кухмистерова, 20, корп. 2","Бильярдный клуб, спортбар",https://yandex.com/maps/org/duplet/1152838196/,found,
Бильярдный клуб,ЮВАО,"1-я Новокузьминская улица, 16 к2","Бильярдный клуб 1-я Новокузьминская улица, 16 к2 Москва",Бильярдный клуб,"Москва, 1-я Новокузьминская ул., 16, корп. 2","Бильярдный клуб, развлекательный центр",https://yandex.com/maps/org/bilyardny_klub/71705509059/,found,
"PlayTime, антикафе",ЮВАО,"Братиславская улица, 18 к1","PlayTime, антикафе Братиславская улица, 18 к1 Москва",PlayTime,"Москва, Братиславская ул., 18, корп. 1","Бильярдный клуб, игровые приставки, игровой клуб",https://yandex.com/maps/org/playtime/232028743566/,found,
"Узген, бильярдный клуб",ЮВАО,"улица Трофимова, 36 к1","Узген, бильярдный клуб улица Трофимова, 36 к1 Москва",Yzgen,"Москва, ул. Трофимова, 36",Бильярдный клуб,https://yandex.com/maps/org/yzgen/93016723663/,found,
3 Kenta,ЮВАО,"Лермонтовский проспект, 19","3 Kenta Лермонтовский проспект, 19 Москва",,,,,not_found,Не открылась карточка и не появились результаты поиска
"Dream Game Center, игровой центр для детей и молодежи",Другое,"Андропова проспект, 1","Dream Game Center, игровой центр для детей и молодежи Андропова проспект, 1 Москва",Dream Game Center,"Москва, просп. Андропова, 1","Боулинг, развлекательный центр, бильярдный клуб",https://yandex.com/maps/org/dream_game_center/168379665234/,found,
